,property_type,land_size_bin,yr,count,mean,std,min,25%,50%,75%,max
47,duplex-semi-detached,400,2012,2.0,1472500.0,894490.0782009827,840000.0,1156250.0,1472500.0,1788750.0,2105000.0
48,duplex-semi-detached,400,2013,3.0,729666.6666666666,113315.19462690488,625000.0,669500.0,714000.0,782000.0,850000.0
49,duplex-semi-detached,400,2014,5.0,952700.0,133379.90853198242,855000.0,858500.0,920000.0,950000.0,1180000.0
50,duplex-semi-detached,400,2015,9.0,1112888.888888889,212677.2463408136,695000.0,1020000.0,1180000.0,1265000.0,1365000.0
51,duplex-semi-detached,400,2016,14.0,1230571.4285714286,282671.24538416177,860000.0,1007500.0,1192500.0,1372500.0,1725000.0
52,duplex-semi-detached,400,2017,11.0,1432272.7272727273,344044.79095289065,1000000.0,1260000.0,1350000.0,1562500.0,2175000.0
53,duplex-semi-detached,400,2018,10.0,1264500.0,236107.9084750116,780000.0,1170000.0,1262500.0,1395000.0,1680000.0
54,duplex-semi-detached,400,2019,11.0,1751136.3636363635,1675573.485271671,815000.0,1042500.0,1165000.0,1709000.0,6700000.0
55,duplex-semi-detached,400,2020,29.0,1318769.3103448276,315468.8405932061,700000.0,1145000.0,1275000.0,1481000.0,1940000.0
56,duplex-semi-detached,400,2021,60.0,1596228.1333333333,462479.3290452573,720000.0,1277000.0,1520944.0,2002500.0,2450000.0
57,duplex-semi-detached,400,2022,15.0,2046666.6666666667,654281.6853691718,1080000.0,1512500.0,1810000.0,2635000.0,2880000.0
58,duplex-semi-detached,600,2010,2.0,831000.0,41012.193308819755,802000.0,816500.0,831000.0,845500.0,860000.0
59,duplex-semi-detached,600,2015,1.0,1808000.0,,1808000.0,1808000.0,1808000.0,1808000.0,1808000.0
60,duplex-semi-detached,600,2016,1.0,1720000.0,,1720000.0,1720000.0,1720000.0,1720000.0,1720000.0
61,duplex-semi-detached,600,2017,1.0,1080000.0,,1080000.0,1080000.0,1080000.0,1080000.0,1080000.0
62,duplex-semi-detached,600,2020,1.0,1300000.0,,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0
63,duplex-semi-detached,600,2021,2.0,1490000.0,339411.2549695428,1250000.0,1370000.0,1490000.0,1610000.0,1730000.0
64,duplex-semi-detached,600,2022,1.0,1680000.0,,1680000.0,1680000.0,1680000.0,1680000.0,1680000.0
65,duplex-semi-detached,800,2018,1.0,1375000.0,,1375000.0,1375000.0,1375000.0,1375000.0,1375000.0
66,duplex-semi-detached,800,2019,1.0,1750000.0,,1750000.0,1750000.0,1750000.0,1750000.0,1750000.0
67,duplex-semi-detached,800,2021,1.0,2675000.0,,2675000.0,2675000.0,2675000.0,2675000.0,2675000.0
68,house,0,2007,2.0,615000.0,49497.474683058324,580000.0,597500.0,615000.0,632500.0,650000.0
69,house,0,2008,11.0,667000.0,240514.4486304305,465000.0,540000.0,649000.0,679000.0,1350000.0
70,house,0,2009,37.0,704972.972972973,155249.214792519,408000.0,602500.0,670000.0,811000.0,1050000.0
71,house,0,2010,39.0,884230.7692307692,258012.0826973299,370000.0,712500.0,820000.0,1013000.0,1481000.0
72,house,0,2011,38.0,850684.2105263158,155966.75066026748,430000.0,760000.0,835000.0,908250.0,1400000.0
73,house,0,2012,44.0,903843.1818181818,251571.74888320075,330000.0,738750.0,833250.0,1101250.0,1625000.0
74,house,0,2013,69.0,911724.6376811594,228075.07368627362,448000.0,774000.0,862000.0,970000.0,1620000.0
75,house,0,2014,96.0,1103412.6041666667,364628.05820450664,620000.0,880750.0,1004000.0,1222000.0,2865000.0
76,house,0,2015,125.0,1369526.0,905528.8575850881,415000.0,970000.0,1180000.0,1380000.0,6700000.0
77,house,0,2016,119.0,1390453.3697478992,582091.5645453283,435000.0,1062500.0,1277000.0,1550000.0,4200000.0
78,house,0,2017,102.0,1428143.8921568627,435120.9669203509,455000.0,1207469.25,1350000.0,1585000.0,3500000.0
79,house,0,2018,95.0,1322581.5789473683,355547.7072496167,455000.0,1075000.0,1271000.0,1427000.0,2880000.0
