ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"6 EULO PARADE, RYDE NSW 2112","1095000","18 October 2014","248.7","NON STRATA","No",871506,"AJ133451","16 July 2023"
"6 EULO PARADE, RYDE NSW 2112","718000","31 October 2011","248.7","NON STRATA","No",871506,"AG667914","16 July 2023"
"6 EULO PARADE, RYDE NSW 2112","698000","21 May 2010","248.7","NON STRATA","No",871506,"AF599546","16 July 2023"
"6 EULO PARADE, RYDE NSW 2112","630000","4 August 2007","248.7","NON STRATA","No",871506,"AD435068","16 July 2023"
