ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"17 CHISWICK PLACE, CHERRYBROOK NSW 2126","2875000","10 May 2022","743.8","NON STRATA","No",634710,"AS234490","16 July 2023"
"17 CHISWICK PLACE, CHERRYBROOK NSW 2126","818000","1 April 2005","743.8","NON STRATA","No",634710,"AB496738","16 July 2023"
"17 CHISWICK PLACE, CHERRYBROOK NSW 2126","690000","9 December 2001","743.8","NON STRATA","No",634710,"8413273","16 July 2023"
