ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"10 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","1780000","22 April 2020","745.8","NON STRATA","No",636986,"AQ147062","16 July 2023"
"10 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","892500","18 March 2012","745.8","NON STRATA","No",636986,"AG940419","16 July 2023"
"10 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","717500","30 August 2002","745.8","NON STRATA","No",636986,"9155329","16 July 2023"
