ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"72 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","2080000","14 January 2023","796.4","NON STRATA","No",636947,"AS855613","16 July 2023"
"72 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","2100000","13 May 2021","796.4","NON STRATA","No",636947,"AR334574","16 July 2023"
"72 DARLINGTON DRIVE, CHERRYBROOK NSW 2126","730000","2 May 2003","796.4","NON STRATA","No",636947,"9764851","16 July 2023"
